A,B,Link Size
Ben Carson,1776 Commission,2
Brooke Rollins,1776 Commission,2
Carol Swain,1776 Commission,2
Charles Kesler,1776 Commission,2
Donald Trump,1776 Commission,2
Larry Arnn,1776 Commission,2
Matthew Spalding,1776 Commission,2
Michael Farris,1776 Commission,2
Ned Ryun,1776 Commission,2
Thomas Lindsay,1776 Commission,2
Victor Davis Hanson,1776 Commission,2
Chris Buskirk,1789 Capital,2
Mercer Fortune,1789 Capital,2
Rebekah Mercer,1789 Capital,2
DonorsTrust/Donors Capital Fund,1851 Center for Constitutional Law,2
Koch Network,1851 Center for Constitutional Law,2
Maurice Thompson,1851 Center for Constitutional Law,2
State Policy Network,1851 Center for Constitutional Law,2
Electrum,1MBD,2
Jho Low,1MBD,2
Yousef Al Otaiba,1MBD,2
Marc Rich,20th Century Studios,2
Rupert Murdoch,20th Century Studios,2
Burson,360 Advantage,2
Russ Schriefer,360 Advantage,2
Stuart Stevens,360 Advantage,2
Russ Schriefer,360 Advantage ,2
Stevens & Schriefer Group,360 Advantage ,2
Stuart Stevens,360 Advantage ,2
Cohn & Wolfe,3M,2
Dambisa Moyo,3M,2
Jim McNerney,3M,2
Pete Peterson,3M,2
Vance Coffman,3M,2
Adelson Fortune,45Committee,2
Sheldon Adelson,45Committee,2
Wellspring Committee,45Committee,2
American Encore,60 Plus Association,2
Charles Koch,60 Plus Association,2
David Koch,60 Plus Association,2
DCI Group,60 Plus Association,2
Freedom and Opportuntity Fund,60 Plus Association,2
Freedom Partners,60 Plus Association,2
Saul Anuzis,60 Plus Association,2
Sean Noble,60 Plus Association,2
Chris Kojm,9/11 Public Discourse Project,2
Smith Richardson Foundation,9/11 Public Discourse Project,2
Bayard Rustin,A. Philip Randolph Institute,2
Norman Hill,A. Philip Randolph Institute,2
Beat Hess,ABB,2
Jacob Wallenberg,ABB,2
Peter Sutherland,ABB,2
Edelman,Abbott Laboratories,2
Huntingdon Life Sciences,Abbott Laboratories,2
Matheson,Abbott Laboratories,2
Donald Shepperd,ABC,2
Torie Clarke,ABC,2
William Nash,ABC,2
Rosenwald Fortune,Abstraction Fund,2
Silvio Berlusconi,AC Milan,2
Andrew J.B. Mitchell,Accenture,2
Gavin Anderson & Company,Accenture,2
Lauren Friedman Stat,Accenture,2
Livingston Group,Accenture,2
Mark Moody-Stuart,Accenture,2
Wulf von Schimmelmann,Accenture,2
Calpine,Access Industries,2
Len Blavatnik,Access Industries,2
Meta,Access Industries,2
Rusal,Access Industries,2
Stan Polvets,Access Industries,2
TNK,Access Industries,2
Albert and Ethel Herzstein Charitable Foundation,Accuracy in Media,2
Anschutz Fortune,Accuracy in Media,2
Bill Dunn Fortune,Accuracy in Media,2
Cliff Kincaid,Accuracy in Media,2
DonorsTrust/Donors Capital Fund,Accuracy in Media,2
Hertog Fortune,Accuracy in Media,2
Inter-American Security Educational Institute,Accuracy in Media,2
Marc Morano,Accuracy in Media,2
Mellon Scaife Fortune,Accuracy in Media,2
Milstein Fortune,Accuracy in Media,2
Shelby Cullom Davis,Accuracy in Media,2
Uihlein Fortune,Accuracy in Media,2
Leslie Lenkowsky,Achelis and Bodman Foundation,2
Becker Fortune,ACT for America,2
Brigitte Gabriel,ACT for America,2
Chernick Fortune,ACT for America,2
Laura Loomer,ACT for America,2
Michael Flynn,ACT for America,2
Mike Pompeo,ACT for America,2
Robert Shillman,ACT for America,2
Ryan Mauro,ACT for America,2
Walid Phares,ACT for America,2
Achelis and Bodman Foundation,Acton Institute,2
Albert and Ethel Herzstein Charitable Foundation,Acton Institute,2
Alejandro Chafuen,Acton Institute,2
Altria,Acton Institute,2
Betsy DeVos,Acton Institute,2
Bradley Foundation,Acton Institute,2
Bruce Edward Walker,Acton Institute,2
Claude R. Lambe Foundation,Acton Institute,2
David Durell,Acton Institute,2
David Padden,Acton Institute,2
DeVos Fortune,Acton Institute,2
Dick DeVos,Acton Institute,2
DonorsTrust/Donors Capital Fund,Acton Institute,2
Earhart Foundation,Acton Institute,2
Elsa Prince Broekhuizen,Acton Institute,2
ExxonMobil,Acton Institute,2
Frank Hanna,Acton Institute,2
J.C. Huizenga,Acton Institute,2
Jeffrey Tucker,Acton Institute,2
Jennifer Roback Morse,Acton Institute,2
Koch Network,Acton Institute,2
Leslie Graves,Acton Institute,2
Marvin Olasky,Acton Institute,2
Noble Research Institute,Acton Institute,2
Peabody Energy,Acton Institute,2
Prince Fortune,Acton Institute,2
Robert Reilly,Acton Institute,2
Robert Sirico,Acton Institute,2
Roe Fortune,Acton Institute,2
Roy Marden,Acton Institute,2
Sean Fieler,Acton Institute,2
Tom Woods,Acton Institute,2
Uihlein Fortune,Acton Institute,2
Alan Gottlieb,ACU,2
Betsy DeVos,ACU,2
Brent Bozell III,ACU,2
Cleta Mitchell,ACU,2
Daniel Casey,ACU,2
David Keene,ACU,2
Donald Trump,ACU,2
Donatelli Group,ACU,2
Doug Ducey,ACU,2
James Lankford,ACU,2
John Ashbrook,ACU,2
Mark Levin,ACU,2
Matt Bevin,ACU,2
